"birthPlace","highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo","PosicionesCenter","PosicionesForward","PosicionesGuard","PosicionesPoint","PosicionesPower","PosicionesShooting","PosicionesSmall"
202,105,7,"Shooting Guard",6,2,1993,8,1,182.88,182.88,90,0,0,0,0,0,1,0
185,67,36,"Center",1,2,1997,7,18,182.88,304.8,114.75,1,0,0,0,0,0,0
236,105,13,"Power Forward and Center",5,2,1988,5,6,213.36,60.96,111.6,0,0,0,0,1,0,0
131,105,123,"Power Forward",5,2,1991,8,9,182.88,304.8,108,0,0,0,0,1,0,0
45,105,86,"Power Forward and Center",5,2,1980,6,23,182.88,335.28,110.25,0,0,0,0,1,0,0
124,105,248,"Center",1,2,1986,3,12,213.36,60.96,108,1,0,0,0,0,0,0
164,23,60,"Center",1,2,1975,1,1,213.36,0,112.05,1,0,0,0,0,0,0
7,105,132,"Point Guard and Power Forward and Small Forward and Shooting Guard",4,2,1994,12,6,182.88,335.28,108.9,0,0,0,1,0,0,0
7,105,365,"Small Forward",7,2,1992,7,17,182.88,213.36,92.25,0,0,0,0,0,0,1
261,105,303,"Center",1,2,1982,7,29,182.88,335.28,117,1,0,0,0,0,0,0
39,105,290,"Center",1,2,1986,7,4,213.36,0,114.75,1,0,0,0,0,0,0
276,105,139,"Center and Power Forward",1,2,1985,4,1,182.88,304.8,112.5,1,0,0,0,0,0,0
146,166,201,"Shooting Guard and Small Forward",6,2,1983,12,16,182.88,152.4,99,0,0,0,0,0,1,0
177,105,72,"Center",1,2,1980,2,7,213.36,30.48,114.75,1,0,0,0,0,0,0
41,105,286,"Guard",3,2,1923,2,17,182.88,0,81,0,0,1,0,0,0,0
252,105,222,"Point Guard and Shooting Guard",4,2,1982,11,28,182.88,91.44,87.3,0,0,0,1,0,0,0
232,105,18,"Power Forward and Center",5,2,1985,10,26,213.36,0,110.25,0,0,0,0,1,0,0
302,178,63,"Shooting Guard",6,2,1921,1,15,182.88,60.96,83.25,0,0,0,0,0,1,0
17,105,252,"Center",1,2,1975,11,20,182.88,335.28,130.5,1,0,0,0,0,0,0
171,105,117,"Power Forward",5,1,1983,9,2,182.88,304.8,121.5,0,0,0,0,1,0,0
142,105,279,"Small Forward and Shooting Guard",7,2,1988,12,14,182.88,243.84,90,0,0,0,0,0,0,1
174,105,344,"Point Guard",4,2,1965,3,16,182.88,60.96,75.6,0,0,0,1,0,0,0
100,90,310,"Guard",3,2,1927,12,2,152.4,304.8,78.75,0,0,1,0,0,0,0
216,105,328,"Point Guard",4,2,1988,2,24,182.88,0,76.5,0,0,0,1,0,0,0
243,105,238,"Shooting Guard and Small Forward",6,2,1986,3,25,182.88,152.4,94.5,0,0,0,0,0,1,0
43,105,101,"Power Forward",5,2,1997,11,17,213.36,30.48,101.25,0,0,0,0,1,0,0
210,112,189,"Small Forward",7,2,1981,1,30,182.88,335.28,90.9,0,0,0,0,0,0,1
150,90,403,"Small Forward",7,2,1965,2,9,182.88,213.36,94.5,0,0,0,0,0,0,1
288,105,70,"Shooting Guard",6,2,1989,9,9,182.88,121.92,90,0,0,0,0,0,1,0
288,105,87,"Power Forward",5,2,1992,11,12,182.88,304.8,101.25,0,0,0,0,1,0,0
228,165,25,"Center",1,1,1986,4,2,182.88,335.28,108,1,0,0,0,0,0,0
63,33,170,"Forward",2,2,1935,2,2,182.88,182.88,94.5,0,1,0,0,0,0,0
151,105,40,"Center",1,2,1992,8,28,182.88,274.32,114.75,1,0,0,0,0,0,0
19,105,273,"Power Forward",5,2,1988,5,9,182.88,304.8,105.3,0,0,0,0,1,0,0
272,142,17,"Center and Power Forward",1,2,1986,8,22,182.88,335.28,105.75,1,0,0,0,0,0,0
25,1,114,"Point Guard",4,2,1989,12,9,182.88,30.48,92.25,0,0,0,1,0,0,0
4,37,200,"Small Forward and Shooting Guard",7,2,1980,5,12,182.88,152.4,96.75,0,0,0,0,0,0,1
19,105,46,"Shooting Guard",6,2,1992,8,18,182.88,182.88,92.25,0,0,0,0,0,1,0
175,105,47,"Small Forward",7,2,1989,4,18,182.88,243.84,97.2,0,0,0,0,0,0,1
181,105,148,"Point Guard",4,2,1999,11,8,182.88,243.84,81,0,0,0,1,0,0,0
94,100,94,"Shooting Guard",6,2,1996,10,30,182.88,182.88,94.5,0,0,0,0,0,1,0
247,105,221,"Small Forward",7,2,1972,9,20,182.88,243.84,99,0,0,0,0,0,0,1
138,85,335,"Center",1,2,1961,3,17,213.36,30.48,105.75,1,0,0,0,0,0,0
55,26,38,"Shooting Guard",6,2,1941,6,16,152.4,335.28,74.25,0,0,0,0,0,1,0
1,122,242,"Center",1,2,1968,9,27,182.88,304.8,119.25,1,0,0,0,0,0,0
220,105,307,"Center",1,2,1979,10,2,213.36,60.96,113.4,1,0,0,0,0,0,0
185,127,151,"Point Guard",4,2,1996,4,13,182.88,91.44,96.75,0,0,0,1,0,0,0
52,57,215,"Center and Power Forward",1,2,1982,3,10,182.88,335.28,121.5,1,0,0,0,0,0,0
208,143,355,"Forward",2,2,1929,6,27,182.88,91.44,90,0,1,0,0,0,0,0
167,158,171,"Center",1,2,1930,1,1,182.88,304.8,105.75,1,0,0,0,0,0,0
248,105,280,"Small Forward and Shooting Guard",7,2,1993,3,2,182.88,213.36,87.75,0,0,0,0,0,0,1
208,88,209,"Shooting Guard and Small Forward",6,2,1978,8,23,182.88,182.88,95.4,0,0,0,0,0,1,0
156,170,41,"Center",1,2,1934,6,29,182.88,213.36,102.6,1,0,0,0,0,0,0
163,30,158,"Center",1,2,1985,3,10,182.88,304.8,112.5,1,0,0,0,0,0,0
212,149,23,"Center",1,2,1987,10,27,213.36,0,128.25,1,0,0,0,0,0,0
305,105,408,"Power Forward",5,2,1981,5,21,182.88,335.28,105.75,0,0,0,0,1,0,0
197,105,53,"Small Forward",7,2,1995,9,21,182.88,274.32,98.1,0,0,0,0,0,0,1
293,105,191,"Shooting Guard and Point Guard",6,2,1981,9,28,182.88,91.44,90,0,0,0,0,0,1,0
92,105,65,"Center",1,2,1994,5,18,182.88,304.8,108,1,0,0,0,0,0,0
109,105,291,"Small Forward and Power Forward",7,2,1988,6,22,182.88,274.32,101.25,0,0,0,0,0,0,1
266,106,401,"Center",1,2,1993,8,18,213.36,0,108,1,0,0,0,0,0,0
38,43,3,"Point Guard",4,2,1917,2,12,152.4,335.28,76.5,0,0,0,1,0,0,0
97,40,384,"Center and Power Forward",1,2,1982,10,2,213.36,30.48,108,1,0,0,0,0,0,0
30,6,321,"Shooting Guard and Point Guard",6,2,1967,10,5,182.88,121.92,83.25,0,0,0,0,0,1,0
286,105,389,"Small Forward",7,2,1988,8,30,182.88,274.32,100.8,0,0,0,0,0,0,1
159,33,42,"Center",1,2,1917,9,18,182.88,304.8,105.75,1,0,0,0,0,0,0
55,8,217,"Shooting Guard",6,2,1944,1,22,182.88,91.44,78.75,0,0,0,0,0,1,0
137,5,173,"Shooting Guard",6,2,1953,3,20,182.88,121.92,85.5,0,0,0,0,0,1,0
169,86,90,"Center",1,2,1990,8,13,182.88,335.28,121.5,1,0,0,0,0,0,0
180,65,186,"Shooting Guard",6,2,1936,11,1,182.88,121.92,81,0,0,0,0,0,1,0
70,124,177,"Small Forward",7,2,1986,6,17,182.88,152.4,94.5,0,0,0,0,0,0,1
110,105,264,"Small Forward",7,2,1992,4,27,182.88,152.4,97.2,0,0,0,0,0,0,1
40,21,308,"Center",1,2,1965,9,26,182.88,304.8,123.75,1,0,0,0,0,0,0
102,157,108,"Power Forward and Center",5,2,1982,12,5,213.36,0,132.75,0,0,0,0,1,0,0
19,105,314,"Center",1,2,1970,6,22,213.36,30.48,117,1,0,0,0,0,0,0
114,144,228,"Point Guard",4,2,1944,11,20,182.88,0,76.5,0,0,0,1,0,0,0
57,119,115,"Small Forward",7,1,1982,4,1,182.88,243.84,96.3,0,0,0,0,0,0,1
253,32,337,"Shooting Guard",6,2,1970,2,26,182.88,152.4,90,0,0,0,0,0,1,0
170,105,133,"Small Forward",7,2,1987,11,27,182.88,243.84,96.75,0,0,0,0,0,0,1
112,105,211,"Small Forward",7,2,1971,10,22,182.88,274.32,105.75,0,0,0,0,0,0,1
55,110,28,"Power Forward and Center",5,2,1993,3,11,182.88,304.8,113.85,0,0,0,0,1,0,0
196,49,85,"Center",1,2,1957,1,11,182.88,335.28,112.95,1,0,0,0,0,0,0
239,105,269,"Shooting Guard and Small Forward",6,2,1987,6,23,182.88,152.4,90,0,0,0,0,0,1,0
248,105,56,"Shooting Guard and Small Forward",6,2,1982,8,29,182.88,182.88,103.5,0,0,0,0,0,1,0
66,64,376,"Shooting Guard and Point Guard",6,2,1974,1,28,182.88,30.48,85.05,0,0,0,0,0,1,0
225,121,142,"Shooting Guard",6,2,1998,7,31,182.88,152.4,89.1,0,0,0,0,0,1,0
64,105,49,"Power Forward and Shooting Guard",5,2,1982,4,16,182.88,243.84,112.5,0,0,0,0,1,0,0
67,105,92,"Power Forward and Center",5,2,1982,1,30,213.36,0,135,0,0,0,0,1,0,0
223,14,393,"Center",1,2,1968,2,3,213.36,30.48,109.35,1,0,0,0,0,0,0
19,105,6,"Shooting Guard",6,2,1967,8,26,182.88,60.96,89.1,0,0,0,0,0,1,0
144,105,231,"Shooting Guard",6,2,1999,2,28,182.88,213.36,98.1,0,0,0,0,0,1,0
144,105,135,"Point Guard and Shooting Guard",4,1,1986,5,6,182.88,91.44,85.5,0,0,0,1,0,0,0
144,105,413,"Shooting Guard",6,1,1989,6,22,182.88,152.4,90,0,0,0,0,0,1,0
24,105,306,"Center",1,2,1975,10,27,182.88,335.28,121.5,1,0,0,0,0,0,0
55,105,302,"Guard",3,2,1943,5,30,152.4,91.44,51.3,0,0,1,0,0,0,0
146,171,272,"Shooting Guard and Small Forward",6,2,1984,6,18,182.88,274.32,90,0,0,0,0,0,1,0
118,83,266,"Shooting Guard",6,2,1985,10,26,182.88,91.44,83.25,0,0,0,0,0,1,0
115,105,342,"Center",1,2,1986,7,28,213.36,0,108,1,0,0,0,0,0,0
47,105,391,"Point Guard",4,2,1969,3,1,182.88,91.44,89.1,0,0,0,1,0,0,0
164,81,80,"Point Guard",4,2,1995,7,13,182.88,182.88,85.5,0,0,0,1,0,0,0
127,105,61,"Small Forward",7,2,1989,6,22,182.88,152.4,94.5,0,0,0,0,0,0,1
219,105,392,"Center",1,2,1988,5,5,182.88,335.28,117,1,0,0,0,0,0,0
55,105,125,"Point Guard",4,2,1929,7,2,182.88,30.48,83.25,0,0,0,1,0,0,0
221,105,68,"Center",1,2,1992,7,7,182.88,304.8,119.25,1,0,0,0,0,0,0
283,3,362,"Shooting Guard",6,2,1998,5,17,182.88,213.36,85.5,0,0,0,0,0,1,0
202,105,332,"Shooting Guard",6,2,1985,4,4,182.88,182.88,83.25,0,0,0,0,0,1,0
71,105,216,"Center",1,2,1986,12,24,213.36,30.48,129.6,1,0,0,0,0,0,0
60,173,129,"Point Guard",4,2,1982,8,12,182.88,91.44,84.6,0,0,0,1,0,0,0
46,74,256,"Point Guard and Shooting Guard",4,2,1953,7,31,182.88,60.96,81,0,0,0,1,0,0,0
7,105,31,"Power Forward",5,2,1981,4,1,182.88,304.8,98.55,0,0,0,0,1,0,0
237,105,118,"Small Forward and Shooting Guard",7,2,1992,10,29,182.88,213.36,92.25,0,0,0,0,0,0,1
182,36,88,"Point Guard",4,1,1997,12,20,182.88,91.44,78.75,0,0,0,1,0,0,0
87,51,181,"Power Forward and Center",5,2,1987,2,7,182.88,304.8,112.5,0,0,0,0,1,0,0
55,115,144,"Guard",3,2,1918,7,6,182.88,0,76.5,0,0,1,0,0,0,0
246,105,79,"Small Forward and Shooting Guard and Power Forward",7,2,1988,8,8,182.88,304.8,101.25,0,0,0,0,0,0,1
153,105,190,"Power Forward",5,2,1977,12,19,182.88,274.32,110.25,0,0,0,0,1,0,0
195,105,8,"Shooting Guard",6,1,1980,3,4,182.88,91.44,99,0,0,0,0,0,1,0
161,52,205,"Small Forward and Center and Power Forward",7,2,1976,5,19,182.88,335.28,108,0,0,0,0,0,0,1
12,84,235,"Center",1,2,1985,1,29,213.36,30.48,114.75,1,0,0,0,0,0,0
12,105,297,"Center and Power Forward",1,2,1980,7,6,213.36,0,112.5,1,0,0,0,0,0,0
215,105,254,"Shooting Guard and Small Forward",6,2,1983,5,22,182.88,213.36,96.75,0,0,0,0,0,1,0
278,60,348,"Point Guard",4,2,1998,7,12,182.88,182.88,81.45,0,0,0,1,0,0,0
9,105,234,"Shooting Guard",6,1,1977,7,28,182.88,182.88,92.25,0,0,0,0,0,1,0
303,105,136,"Small Forward and Shooting Guard",7,2,1977,6,20,182.88,182.88,94.5,0,0,0,0,0,0,1
140,20,155,"Small Forward",7,1,1956,9,21,182.88,152.4,92.25,0,0,0,0,0,0,1
280,71,127,"Power Forward",5,2,1960,1,10,182.88,243.84,105.75,0,0,0,0,1,0,0
98,105,19,"Center",1,2,1981,8,21,213.36,30.48,126,1,0,0,0,0,0,0
238,105,333,"Center",1,2,1992,6,26,213.36,30.48,110.25,1,0,0,0,0,0,0
143,152,32,"Point Guard and Shooting Guard",4,2,1994,8,17,182.88,152.4,90,0,0,0,1,0,0,0
35,148,305,"Forward/Center",2,2,1920,12,22,182.88,60.96,91.35,0,1,0,0,0,0,0
145,105,237,"Power Forward and Center",5,2,1984,2,17,182.88,335.28,108,0,0,0,0,1,0,0
184,39,224,"Guard",3,2,1920,11,28,152.4,335.28,81,0,0,1,0,0,0,0
55,162,178,"Power Forward and Center",5,2,1930,1,15,182.88,213.36,87.75,0,0,0,0,1,0,0
111,58,130,"Shooting Guard and Small Forward",6,2,1986,1,26,182.88,213.36,92.25,0,0,0,0,0,1,0
96,153,206,"Shooting Guard and Small Forward",6,1,1953,5,12,182.88,152.4,94.5,0,0,0,0,0,1,0
160,94,9,"Center",1,2,1926,10,7,182.88,213.36,98.1,1,0,0,0,0,0,0
103,91,21,"Center and Power Forward",1,2,1968,10,28,182.88,304.8,101.25,1,0,0,0,0,0,0
2,105,141,"Center",1,2,1985,5,19,213.36,60.96,114.3,1,0,0,0,0,0,0
200,108,64,"Small Forward",7,2,1931,12,9,182.88,121.92,94.5,0,0,0,0,0,0,1
54,120,319,"Small Forward",7,2,1968,10,6,182.88,243.84,87.75,0,0,0,0,0,0,1
55,38,320,"Center",1,2,1942,5,4,213.36,0,112.05,1,0,0,0,0,0,0
268,147,192,"Power Forward and Center",5,2,1989,2,12,182.88,304.8,123.75,0,0,0,0,1,0,0
194,129,4,"Power Forward and Center and Small Forward",5,2,1980,2,17,182.88,274.32,103.5,0,0,0,0,1,0,0
241,160,1,"Shooting Guard",6,2,1994,10,28,182.88,182.88,94.5,0,0,0,0,0,1,0
241,160,24,"Point Guard",4,2,1994,10,28,182.88,182.88,95.85,0,0,0,1,0,0,0
83,105,152,"Power Forward",5,1,1998,5,5,213.36,0,112.05,0,0,0,0,1,0,0
201,79,387,"Point Guard and Shooting Guard",4,2,1936,1,13,182.88,91.44,87.75,0,0,0,1,0,0,0
244,98,62,"Center and Power Forward",1,2,1983,6,11,182.88,182.88,108,1,0,0,0,0,0,0
164,164,349,"Point Guard",4,2,1970,9,6,182.88,0,81,0,0,0,1,0,0,0
153,105,195,"Power Forward",5,2,1995,9,28,182.88,274.32,103.5,0,0,0,0,1,0,0
153,105,402,"Center",1,2,1994,5,27,182.88,335.28,108,1,0,0,0,0,0,0
289,105,397,"Small Forward and Power Forward",7,2,1979,6,26,182.88,274.32,101.25,0,0,0,0,0,0,1
76,105,240,"Small Forward",7,2,1995,2,25,182.88,243.84,101.25,0,0,0,0,0,0,1
108,105,270,"Guard/Forward",3,2,1902,1,30,152.4,335.28,81,0,0,1,0,0,0,0
250,70,276,"Power Forward and Center",5,2,1982,9,13,182.88,335.28,112.5,0,0,0,0,1,0,0
55,16,179,"Small Forward",7,2,1925,9,26,182.88,121.92,83.25,0,0,0,0,0,0,1
8,145,104,"Power Forward and Center",5,2,1985,12,8,182.88,335.28,119.25,0,0,0,0,1,0,0
252,105,236,"Point Guard",4,2,1983,5,25,182.88,91.44,90,0,0,0,1,0,0,0
271,78,149,"Center",1,2,1998,1,5,213.36,0,114.75,1,0,0,0,0,0,0
33,105,343,"Power Forward and Center",5,2,1989,9,18,182.88,304.8,105.75,0,0,0,0,1,0,0
124,105,415,"Center",1,2,1975,6,5,213.36,91.44,107.1,1,0,0,0,0,0,0
284,105,258,"Center",1,2,1984,6,2,213.36,30.48,103.5,1,0,0,0,0,0,0
127,105,69,"Center",1,2,1980,12,30,213.36,0,110.25,1,0,0,0,0,0,0
82,105,116,"Power Forward",5,2,1987,5,15,182.88,304.8,105.75,0,0,0,0,1,0,0
99,81,180,"Power Forward and Small Forward",5,1,1987,10,2,182.88,243.84,101.7,0,0,0,0,1,0,0
48,105,73,"Small Forward",7,2,1995,5,20,182.88,243.84,110.7,0,0,0,0,0,0,1
15,12,76,"Center and Power Forward",1,2,1948,10,25,182.88,274.32,105.75,1,0,0,0,0,0,0
3,130,223,"Shooting Guard and Small Forward and Power Forward",6,2,1984,12,30,182.88,243.84,112.5,0,0,0,0,0,1,0
19,105,243,"Shooting Guard and Small Forward and Point Guard",6,2,1978,10,12,182.88,213.36,89.1,0,0,0,0,0,1,0
172,116,5,"Power Forward and Center",5,2,1985,1,4,182.88,304.8,130.05,0,0,0,0,1,0,0
61,105,51,"Point Guard",4,1,1989,9,23,182.88,30.48,76.5,0,0,0,1,0,0,0
126,105,187,"Power Forward",5,2,1987,3,2,182.88,304.8,103.95,0,0,0,0,1,0,0
104,105,406,"Power Forward",5,2,1987,10,27,213.36,0,108,0,0,0,0,1,0,0
148,172,15,"Center and Small Forward and Power Forward",1,2,1987,5,1,182.88,274.32,108,1,0,0,0,0,0,0
35,99,71,"Center",1,2,1995,9,22,213.36,0,114.75,1,0,0,0,0,0,0
173,163,218,"Shooting Guard",6,2,1954,11,28,182.88,91.44,92.25,0,0,0,0,0,1,0
264,105,282,"Center",1,2,1995,2,19,213.36,0,112.5,1,0,0,0,0,0,0
218,73,363,"Power Forward",5,1,1992,1,9,182.88,274.32,113.4,0,0,0,0,1,0,0
101,62,396,"Power Forward",5,2,1926,7,14,182.88,121.92,101.25,0,0,0,0,1,0,0
306,151,113,"Center",1,2,1992,5,20,182.88,335.28,112.5,1,0,0,0,0,0,0
55,105,377,"Guard",3,2,1919,4,13,152.4,304.8,74.25,0,0,1,0,0,0,0
269,105,346,"Shooting Guard and Small Forward",6,1,1993,10,26,182.88,213.36,93.6,0,0,0,0,0,1,0
55,105,106,"Guard",3,2,1923,8,13,152.4,335.28,83.25,0,0,1,0,0,0,0
267,105,241,"Center",1,2,1980,4,5,213.36,30.48,117,1,0,0,0,0,0,0
125,105,390,"Small Forward and Power Forward",7,2,1982,8,3,182.88,274.32,94.5,0,0,0,0,0,0,1
208,129,253,"Small Forward and Power Forward",7,2,1993,9,26,182.88,213.36,104.4,0,0,0,0,0,0,1
117,56,20,"Small Forward and Power Forward",7,2,1981,2,18,182.88,274.32,99,0,0,0,0,0,0,1
300,105,249,"Power Forward",5,2,1992,1,29,182.88,335.28,108,0,0,0,0,1,0,0
55,169,43,"Guard/Forward",3,2,1929,4,30,182.88,60.96,83.25,0,0,1,0,0,0,0
166,114,52,"Point Guard and Shooting Guard",4,2,1991,12,2,182.88,91.44,87.75,0,0,0,1,0,0,0
209,154,207,"Power Forward",5,2,1999,8,11,182.88,274.32,96.75,0,0,0,0,1,0,0
115,105,124,"Shooting Guard",6,2,1997,7,24,182.88,213.36,85.5,0,0,0,0,0,1,0
174,105,405,"Small Forward",7,2,1987,5,7,182.88,274.32,91.35,0,0,0,0,0,0,1
190,105,388,"Center",1,2,1987,8,25,213.36,0,117,1,0,0,0,0,0,0
55,156,374,"Shooting Guard",6,2,1943,2,28,182.88,152.4,90,0,0,0,0,0,1,0
132,105,275,"Center and Power Forward",1,2,1983,7,25,213.36,0,108,1,0,0,0,0,0,0
267,105,375,"Power Forward and Small Forward",5,1,1968,9,18,182.88,304.8,86.4,0,0,0,0,1,0,0
51,105,327,"Small Forward",7,2,1998,2,5,182.88,274.32,94.5,0,0,0,0,0,0,1
115,105,146,"Shooting Guard",6,2,1974,7,1,182.88,182.88,90,0,0,0,0,0,1,0
72,105,287,"Center",1,2,1990,5,16,213.36,30.48,112.95,1,0,0,0,0,0,0
294,105,260,"Small Forward",7,2,1989,10,19,182.88,274.32,96.75,0,0,0,0,0,0,1
217,84,351,"Power Forward",5,2,1996,3,18,182.88,335.28,105.75,0,0,0,0,1,0,0
225,105,100,"Shooting Guard",6,2,1991,11,6,182.88,121.92,94.5,0,0,0,0,0,1,0
