"highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Abrines","Shooting Guard","Shooting","Right","1993","08","01",182.88,182.88,90
"High Point Christian Academy in High Point, North Carolina","Bam Adebayo","Center","Center","Right","1997","07","18",182.88,304.8,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Alexis Ajinca","Power Forward and Center","Power","Right","1988","05","06",213.36,60.96,111.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Furkan Aldemir","Power Forward","Power","Right","1991","08","09",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","David Andersen","Power Forward and Center","Power","Right","1980","06","23",182.88,335.28,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Martynas Andriuskevicius","Center","Center","Right","1986","03","12",213.36,60.96,108
"Catholic Regional College in Melbourne, Australia","Chris Anstey","Center","Center","Right","1975","01","01",213.36,0,112.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Giannis Antetokounmpo","Point Guard and Power Forward and Small Forward and Shooting Guard","Point","Right","1994","12","06",182.88,335.28,108.9
"Oak Hill Academy in Mouth of Wilson, Virginia","Thanasis Antetokounmpo","Small Forward","Small","Right","1992","07","17",182.88,213.36,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Pero Antic","Center","Center","Right","1982","07","29",182.88,335.28,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Omer Asik","Center","Center","Right","1986","07","04",213.36,0,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gustavo Ayon","Center and Power Forward","Center","Right","1985","04","01",182.88,304.8,112.5
"Victory Christian in Tulsa, Oklahoma","Kelenna Azubuike","Shooting Guard and Small Forward","Shooting","Right","1983","12","16",182.88,152.4,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Dalibor Bagaric","Center","Center","Right","1980","02","07",213.36,30.48,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Norm Baker","Guard","Guard","Right","1923","02","17",182.88,0,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Leandro Barbosa","Point Guard and Shooting Guard","Point","Right","1982","11","28",182.88,91.44,87.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Andrea Bargnani","Power Forward and Center","Power","Right","1985","10","26",213.36,0,110.25
"Yorktown in Yorktown, Indiana","Cliff Barker","Shooting Guard","Shooting","Right","1921","01","15",182.88,60.96,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mengke Bateer","Center","Center","Right","1975","11","20",182.88,335.28,130.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Esteban Batista","Power Forward","Power","Left","1983","09","02",182.88,304.8,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Batum","Small Forward and Shooting Guard","Small","Right","1988","12","14",182.88,243.84,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergei Bazarevich","Point Guard","Point","Right","1965","03","16",182.88,60.96,75.6
"Male in Louisville, Kentucky","Ralph Beard","Guard","Guard","Right","1927","12","02",152.4,304.8,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rodrigue Beaubois","Point Guard","Point","Right","1988","02","24",182.88,0,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Marco Belinelli","Shooting Guard and Small Forward","Shooting","Right","1986","03","25",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dragan Bender","Power Forward","Power","Right","1997","11","17",213.36,30.48,101.25
"Picayune Memorial in Picayune, Mississippi","Jonathan Bender","Small Forward","Small","Right","1981","01","30",182.88,335.28,90.9
"Male in Louisville, Kentucky","Winston Bennett","Small Forward","Small","Right","1965","02","09",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dairis Bertans","Shooting Guard","Shooting","Right","1989","09","09",182.88,121.92,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Davis Bertans","Power Forward","Power","Right","1992","11","12",182.88,304.8,101.25
"Valters Basketball School in Riga, Latvia","Andris Biedrins","Center","Center","Left","1986","04","02",182.88,335.28,108
"Corbin in Corbin, Kentucky","Jerry Bird","Forward","Forward","Right","1935","02","02",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Bismack Biyombo","Center","Center","Right","1992","08","28",182.88,274.32,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nemanja Bjelica","Power Forward","Power","Right","1988","05","09",182.88,304.8,105.3
"South Kent School in South Kent, Connecticut","Andray Blatche","Center and Power Forward","Center","Right","1986","08","22",182.88,335.28,105.75
"A.H. Parker in Birmingham, Alabama","Eric Bledsoe","Point Guard","Point","Right","1989","12","09",182.88,30.48,92.25
"DeMatha Catholic in Hyattsville, Maryland","Keith Bogans","Small Forward and Shooting Guard","Small","Right","1980","05","12",182.88,152.4,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bogdan Bogdanovic","Shooting Guard","Shooting","Right","1992","08","18",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bojan Bogdanovic","Small Forward","Small","Right","1989","04","18",182.88,243.84,97.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Isaac Bonga","Point Guard","Point","Right","1999","11","08",182.88,243.84,81
"Moss Point in Moss Point, Mississippi","Devin Booker","Shooting Guard","Shooting","Right","1996","10","30",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Lazaro Borrell","Small Forward","Small","Right","1972","09","20",182.88,243.84,99
"Lebanon in Lebanon, Pennsylvania","Sam Bowie","Center","Center","Right","1961","03","17",213.36,30.48,105.75
"Central in Louisville, Kentucky","Bill Bradley","Shooting Guard","Shooting","Right","1941","06","16",152.4,335.28,74.25
"Redcliffe in Redcliffe, Australia","Mark Bradtke","Center","Center","Right","1968","09","27",182.88,304.8,119.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Primoz Brezec","Center","Center","Right","1979","10","02",213.36,60.96,113.4
"Roselle Catholic in Roselle, New Jersey","Isaiah Briscoe","Point Guard","Point","Right","1996","04","13",182.88,91.44,96.75
"Glynn Academy in Brunswick, Georgia","Kwame Brown","Center and Power Forward","Center","Right","1982","03","10",182.88,335.28,121.5
"South Philadelphia in Philadelphia, Pennsylvania","Stan Brown","Forward","Forward","Right","1929","06","27",182.88,91.44,90
"Tilden in Chicago, Illinois","Jim Browne","Center","Center","Right","1930","01","01",182.88,304.8,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Brussino","Small Forward and Shooting Guard","Small","Right","1993","03","02",182.88,213.36,87.75
"Lower Merion in Ardmore, Pennsylvania","Kobe Bryant","Shooting Guard and Small Forward","Shooting","Right","1978","08","23",182.88,182.88,95.4
"Wells in Wells, Texas","Bob Burrow","Center","Center","Right","1934","06","29",182.88,213.36,102.6
"Coastal Christian Academy in Virginia Beach, Virginia","Jackie Butler","Center","Center","Right","1985","03","10",182.88,304.8,112.5
"St. Joseph in Metuchen, New Jersey","Andrew Bynum","Center","Center","Right","1987","10","27",213.36,0,128.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Zarko Cabarkapa","Power Forward","Power","Right","1981","05","21",182.88,335.28,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bruno Caboclo","Small Forward","Small","Right","1995","09","21",182.88,274.32,98.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Jose Calderon","Shooting Guard and Point Guard","Shooting","Right","1981","09","28",182.88,91.44,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Clint Capela","Center","Center","Right","1994","05","18",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Omri Casspi","Small Forward and Power Forward","Small","Right","1988","06","22",182.88,274.32,101.25
"Olathe Northwest in Olathe, Kansas","Willie Cauley-Stein","Center","Center","Right","1993","08","18",213.36,0,108
"East in Buffalo, New York","Al Cervi","Point Guard","Point","Right","1917","02","12",152.4,335.28,76.5
"Dominguez in Compton, California","Tyson Chandler","Center and Power Forward","Center","Right","1982","10","02",213.36,30.48,108
"Apollo in Owensboro, Kentucky","Rex Chapman","Shooting Guard and Point Guard","Shooting","Right","1967","10","05",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Victor Claver","Small Forward","Small","Right","1988","08","30",182.88,274.32,100.8
"Corbin in Corbin, Kentucky","Bob Cluggish","Center","Center","Right","1917","09","18",182.88,304.8,105.75
"Ashland in Ashland, Kentucky","Larry Conley","Shooting Guard","Shooting","Right","1944","01","22",182.88,91.44,78.75
"Anderson County in Lawrenceburg, Kentucky","Jimmy Conner","Shooting Guard","Shooting","Right","1953","03","20",182.88,121.92,85.5
"LeFlore Magnet in Mobile, Alabama","DeMarcus Cousins","Center","Center","Right","1990","08","13",182.88,335.28,121.5
"Hazard in Hazard, Kentucky","Johnny Cox","Shooting Guard","Shooting","Right","1936","11","01",182.88,121.92,81
"Renaissance in Detroit, Michigan","Joe Crawford","Small Forward","Small","Right","1986","06","17",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Mitch Creek","Small Forward","Small","Right","1992","04","27",182.88,152.4,97.2
"Cacak in Cacak, Serbia","Radisav Curcic","Center","Center","Right","1965","09","26",182.88,304.8,123.75
"Thornwood in South Holland, Illinois","Eddy Curry","Power Forward and Center","Power","Right","1982","12","05",213.36,0,132.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rastko Cvetkovic","Center","Center","Right","1970","06","22",213.36,30.48,117
"Southport in Indianapolis, Indiana","Louie Dampier","Point Guard","Point","Right","1944","11","20",182.88,0,76.5
"Princeton in Cincinnati, Ohio","Erik Daniels","Small Forward","Small","Left","1982","04","01",182.88,243.84,96.3
"Cookeville in Cookeville, Tennessee","Sasha Danilovic","Shooting Guard","Shooting","Right","1970","02","26",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Gigi Datome","Small Forward","Small","Right","1987","11","27",182.88,243.84,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Kornel David","Small Forward","Small","Right","1971","10","22",182.88,274.32,105.75
"Perspectives Charter School in Chicago, Illinois","Anthony Davis","Power Forward and Center","Power","Right","1993","03","11",182.88,304.8,113.85
"Evans in Orlando, Florida","Darryl Dawkins","Center","Center","Right","1957","01","11",182.88,335.28,112.95
"Oak Hill Academy in Mouth of Wilson, Virginia","Nando De Colo","Shooting Guard and Small Forward","Shooting","Right","1987","06","23",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Carlos Delfino","Shooting Guard and Small Forward","Shooting","Right","1982","08","29",182.88,182.88,103.5
"Haywood in Brownsville, Tennessee","Tony Delk","Shooting Guard and Point Guard","Shooting","Right","1974","01","28",182.88,30.48,85.05
"Putnam Science Academy in Putnam, Connecticut","Hamidou Diallo","Shooting Guard","Shooting","Right","1998","07","31",182.88,152.4,89.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Boris Diaw","Power Forward and Shooting Guard","Power","Right","1982","04","16",182.88,243.84,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","DeSagana Diop","Power Forward and Center","Power","Right","1982","01","30",213.36,0,135
"Belgrade in Belgrade, Serbia","Vlade Divac","Center","Center","Right","1968","02","03",213.36,30.48,109.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Aleksandar Djordjevic","Shooting Guard","Shooting","Right","1967","08","26",182.88,60.96,89.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Luka Doncic","Shooting Guard","Shooting","Right","1999","02","28",182.88,213.36,98.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Goran Dragic","Point Guard and Shooting Guard","Point","Left","1986","05","06",182.88,91.44,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Zoran Dragic","Shooting Guard","Shooting","Left","1989","06","22",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Predrag Drobnjak","Center","Center","Right","1975","10","27",182.88,335.28,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Penny Early","Guard","Guard","Right","1943","05","30",152.4,91.44,51.3
"Westbury Christian School in Houston, Texas","Ndudi Ebi","Shooting Guard and Small Forward","Shooting","Right","1984","06","18",182.88,274.32,90
"Lanier in Jackson, Mississippi","Monta Ellis","Shooting Guard","Shooting","Right","1985","10","26",182.88,91.44,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Semih Erden","Center","Center","Right","1986","07","28",213.36,0,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Vincenzo Esposito","Point Guard","Point","Right","1969","03","01",182.88,91.44,89.1
"Lake Ginninderra in Canberra, Australia","Dante Exum","Point Guard","Point","Right","1995","07","13",182.88,182.88,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Christian Eyenga","Small Forward","Small","Right","1989","06","22",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Vitor Faverani","Center","Center","Right","1988","05","05",182.88,335.28,117
"Oak Hill Academy in Mouth of Wilson, Virginia","George Feigenbaum","Point Guard","Point","Right","1929","07","02",182.88,30.48,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Cristiano Felicio","Center","Center","Right","1992","07","07",182.88,304.8,119.25
"Advanced Prep International in Dallas, Texas","Terrance Ferguson","Shooting Guard","Shooting","Right","1998","05","17",182.88,213.36,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Rudy Fernandez","Shooting Guard","Shooting","Right","1985","04","04",182.88,182.88,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Kyrylo Fesenko","Center","Center","Right","1986","12","24",213.36,30.48,129.6
"Westside in Macon, Georgia","Gerald Fitch","Point Guard","Point","Right","1982","08","12",182.88,91.44,84.6
"Jeffersonville in Jeffersonville, Indiana","Mike Flynn","Point Guard and Shooting Guard","Point","Right","1953","07","31",182.88,60.96,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Antonis Fotsis","Power Forward","Power","Right","1981","04","01",182.88,304.8,98.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Evan Fournier","Small Forward and Shooting Guard","Small","Right","1992","10","29",182.88,213.36,92.25
"Cypress Lakes in Katy, Texas","De'Aaron Fox","Point Guard","Point","Left","1997","12","20",182.88,91.44,78.75
"Farnham Heath End School in Farnham, United Kingdom","Joel Freeland","Power Forward and Center","Power","Right","1987","02","07",182.88,304.8,112.5
"Poly in San Francisco, California","Herm Fuetsch","Guard","Guard","Right","1918","07","06",182.88,0,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Danilo Gallinari","Small Forward and Shooting Guard and Power Forward","Small","Right","1988","08","08",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Jorge Garbajosa","Power Forward","Power","Right","1977","12","19",182.88,274.32,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Garcia","Shooting Guard","Shooting","Left","1980","03","04",182.88,91.44,99
"Farragut Career Academy in Chicago, Illinois","Kevin Garnett","Small Forward and Center and Power Forward","Small","Right","1976","05","19",182.88,335.28,108
"Lausanne Collegiate School in Memphis, Tennessee","Marc Gasol","Center","Center","Right","1985","01","29",213.36,30.48,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Pau Gasol","Center and Power Forward","Center","Right","1980","07","06",213.36,0,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Mickael Gelabale","Shooting Guard and Small Forward","Shooting","Right","1983","05","22",182.88,213.36,96.75
"Hamilton Heights Christian HS in Chattanooga, Tennessee","Shai Gilgeous-Alexander","Point Guard","Point","Right","1998","07","12",182.88,182.88,81.45
"Oak Hill Academy in Mouth of Wilson, Virginia","Manu Ginobili","Shooting Guard","Shooting","Left","1977","07","28",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Gordan Giricek","Small Forward and Shooting Guard","Small","Right","1977","06","20",182.88,182.88,94.5
"Bryan Station in Lexington, Kentucky","Jack Givens","Small Forward","Small","Left","1956","09","21",182.88,152.4,92.25
"Jambol in Jambol, Bulgaria","Georgi Glouchkov","Power Forward","Power","Right","1960","01","10",182.88,243.84,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Andreas Glyniadakis","Center","Center","Right","1981","08","21",213.36,30.48,126
"Oak Hill Academy in Mouth of Wilson, Virginia","Rudy Gobert","Center","Center","Right","1992","06","26",213.36,30.48,110.25
"Sylvan Hills in Sherwood, Arkansas","Archie Goodwin","Point Guard and Shooting Guard","Point","Right","1994","08","17",182.88,152.4,90
"St. John's Prep in Brooklyn, New York","Pop Goodwin","Forward/Center","Forward","Right","1920","12","22",182.88,60.96,91.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Marcin Gortat","Power Forward and Center","Power","Right","1984","02","17",182.88,335.28,108
"DeWitt Clinton in Bronx, New York","Leo Gottlieb","Guard","Guard","Right","1920","11","28",152.4,335.28,81
"Tuley in Chicago, Illinois","Joe Graboski","Power Forward and Center","Power","Right","1930","01","15",182.88,213.36,87.75
"Gulf Shores Academy in Houston, Texas","Gerald Green","Shooting Guard and Small Forward","Shooting","Right","1986","01","26",182.88,213.36,92.25
"Taft in Hamilton, Ohio","Kevin Grevey","Shooting Guard and Small Forward","Shooting","Left","1953","05","12",182.88,152.4,94.5
"Martins Ferry in Martins Ferry, Ohio","Alex Groza","Center","Center","Right","1926","10","07",182.88,213.36,98.1
"Manuel Fajardo in Havana, Cuba","Andres Guibert","Center and Power Forward","Center","Right","1968","10","28",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Hamed Haddadi","Center","Center","Right","1985","05","19",213.36,60.96,114.3
"Owensboro in Owensboro, Kentucky","Cliff Hagan","Small Forward","Small","Right","1931","12","09",182.88,121.92,94.5
"Pulaski County in Somerset, Kentucky","Reggie Hanson","Small Forward","Small","Right","1968","10","06",182.88,243.84,87.75
"Detroit Eastern in Detroit, Michigan","Reggie Harding","Center","Center","Right","1942","05","04",213.36,0,112.05
"St. Charles in St. Charles, Missouri","Josh Harrellson","Power Forward and Center","Power","Right","1989","02","12",182.88,304.8,123.75
"Saint Patrick in Elizabeth, New Jersey","Al Harrington","Power Forward and Center and Small Forward","Power","Right","1980","02","17",182.88,274.32,103.5
"Travis in Pecan Grove, Texas","Aaron Harrison","Shooting Guard","Shooting","Right","1994","10","28",182.88,182.88,94.5
"Travis in Pecan Grove, Texas","Andrew Harrison","Point Guard","Point","Right","1994","10","28",182.88,182.88,95.85
"Oak Hill Academy in Mouth of Wilson, Virginia","Isaiah Hartenstein","Power Forward","Power","Left","1998","05","05",213.36,0,112.05
"Lafayette in Lexington, Kentucky","Vern Hatton","Point Guard and Shooting Guard","Point","Right","1936","01","13",182.88,91.44,87.75
"Modesto Christian in Modesto, California","Chuck Hayes","Center and Power Forward","Center","Right","1983","06","11",182.88,182.88,108
"Upper Yarra Secondary College in Yarra Junction, Australia","Shane Heal","Point Guard","Point","Right","1970","09","06",182.88,0,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Juan Hernangomez","Power Forward","Power","Right","1995","09","28",182.88,274.32,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Willy Hernangomez","Center","Center","Right","1994","05","27",182.88,335.28,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Walter Herrmann","Small Forward and Power Forward","Small","Right","1979","06","26",182.88,274.32,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mario Hezonja","Small Forward","Small","Right","1995","02","25",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Nat Hickey","Guard/Forward","Guard","Right","1902","01","30",152.4,335.28,81
"Instituto Alvaro Guiao in Sao Carlos, Brazil","Nene","Power Forward and Center","Power","Right","1982","09","13",182.88,335.28,112.5
"Benton in Benton, Kentucky","Joe Holland","Small Forward","Small","Right","1925","09","26",182.88,121.92,83.25
"Southwest Atlanta Christian Academy in Atlanta, Georgia","Dwight Howard","Power Forward and Center","Power","Right","1985","12","08",182.88,335.28,119.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Marcelo Huertas","Point Guard","Point","Right","1983","05","25",182.88,91.44,90
"La Lumiere School in La Porte, Indiana","Isaac Humphries","Center","Center","Right","1998","01","05",213.36,0,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Serge Ibaka","Power Forward and Center","Power","Right","1989","09","18",182.88,304.8,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Zydrunas Ilgauskas","Center","Center","Right","1975","06","05",213.36,91.44,107.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Mile Ilic","Center","Center","Right","1984","06","02",213.36,30.48,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","D.J. Mbenga","Center","Center","Right","1980","12","30",213.36,0,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Ersan Ilyasova","Power Forward","Power","Right","1987","05","15",182.88,304.8,105.75
"Lake Ginninderra in Canberra, Australia","Joe Ingles","Power Forward and Small Forward","Power","Left","1987","10","02",182.88,243.84,101.7
"Oak Hill Academy in Mouth of Wilson, Virginia","Damien Inglis","Small Forward","Small","Right","1995","05","20",182.88,243.84,110.7
"Batavia in Batavia, Illinois","Dan Issel","Center and Power Forward","Center","Right","1948","10","25",182.88,274.32,105.75
"Saint Vincent-Saint Mary in Akron, Ohio","LeBron James","Shooting Guard and Small Forward and Power Forward","Shooting","Right","1984","12","30",182.88,243.84,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Marko Jaric","Shooting Guard and Small Forward and Point Guard","Shooting","Right","1978","10","12",182.88,213.36,89.1
"Prentiss in Prentiss, Mississippi","Al Jefferson","Power Forward and Center","Power","Right","1985","01","04",182.88,304.8,130.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Brandon Jennings","Point Guard","Point","Left","1989","09","23",182.88,30.48,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Jonas Jerebko","Power Forward","Power","Right","1987","03","02",182.88,304.8,103.95
"Oak Hill Academy in Mouth of Wilson, Virginia","Yi Jianlian","Power Forward","Power","Right","1987","10","27",213.36,0,108
"Westchester in Los Angeles, California","Amir Johnson","Center and Small Forward and Power Forward","Center","Right","1987","05","01",182.88,274.32,108
"Montverde Academy in Montverde, Florida","Dakari Johnson","Center","Center","Right","1995","09","22",213.36,0,114.75
"Union County in Union County, Kentucky","Larry Johnson","Shooting Guard","Shooting","Right","1954","11","28",182.88,91.44,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Nikola Jokic","Center","Center","Right","1995","02","19",213.36,0,112.5
"Jefferson in Portland, Oregon","Terrence Jones","Power Forward","Power","Left","1992","01","09",182.88,274.32,113.4
"Harlan in Harlan, Kentucky","Wah Wah Jones","Power Forward","Power","Right","1926","07","14",182.88,121.92,101.25
"Stoneridge Preparatory School in Simi Valley, California","Enes Kanter","Center","Center","Right","1992","05","20",182.88,335.28,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Tony Kappen","Guard","Guard","Right","1919","04","13",152.4,304.8,74.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergey Karasev","Shooting Guard and Small Forward","Shooting","Left","1993","10","26",182.88,213.36,93.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Ed Kasid","Guard","Guard","Right","1923","08","13",152.4,335.28,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mario Kasun","Center","Center","Right","1980","04","05",213.36,30.48,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Viktor Khryapa","Small Forward and Power Forward","Small","Right","1982","08","03",182.88,274.32,94.5
"Saint Patrick in Elizabeth, New Jersey","Michael Kidd-Gilchrist","Small Forward and Power Forward","Small","Right","1993","09","26",182.88,213.36,104.4
"Frunzenskaya Sport School in Saint Petersburg, Russia","Andrei Kirilenko","Small Forward and Power Forward","Small","Right","1981","02","18",182.88,274.32,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Maxi Kleber","Power Forward","Power","Right","1992","01","29",182.88,335.28,108
"Weaver in Hartford, Connecticut","Bob Knight","Guard/Forward","Guard","Right","1929","04","30",182.88,60.96,83.25
"Pine Crest School in Fort Lauderdale, Florida","Brandon Knight","Point Guard and Shooting Guard","Point","Right","1991","12","02",182.88,91.44,87.75
"Tampa Catholic in Tampa, Florida","Kevin Knox","Power Forward","Power","Right","1999","08","11",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Furkan Korkmaz","Shooting Guard","Shooting","Right","1997","07","24",182.88,213.36,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Yaroslav Korolev","Small Forward","Small","Right","1987","05","07",182.88,274.32,91.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Viacheslav Kravtsov","Center","Center","Right","1987","08","25",213.36,0,117
"Tell City in Tell City, Indiana","Tommy Kron","Shooting Guard","Shooting","Right","1943","02","28",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Nenad Krstic","Center and Power Forward","Center","Right","1983","07","25",213.36,0,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Toni Kukoc","Power Forward and Small Forward","Power","Left","1968","09","18",182.88,304.8,86.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Rodions Kurucs","Small Forward","Small","Right","1998","02","05",182.88,274.32,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ibo Kutluay","Shooting Guard","Shooting","Right","1974","07","01",182.88,182.88,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Ognjen Kuzmic","Center","Center","Right","1990","05","16",213.36,30.48,112.95
"Oak Hill Academy in Mouth of Wilson, Virginia","Mindaugas Kuzminskas","Small Forward","Small","Right","1989","10","19",182.88,274.32,96.75
"Lausanne Collegiate School in Memphis, Tennessee","Skal Labissiere","Power Forward","Power","Right","1996","03","18",182.88,335.28,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Doron Lamb","Shooting Guard","Shooting","Right","1991","11","06",182.88,121.92,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Maciej Lampe","Center","Center","Right","1985","02","05",182.88,335.28,123.75
"Central Park Christian in Birmingham, Alabama","James Lang","Center","Center","Right","1983","10","17",182.88,304.8,128.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Laprovittola","Point Guard","Point","Right","1990","01","31",182.88,121.92,81
